tiempo,tiempo Code,país Name,país Code,Crecimiento del PIB (% anual) [NY.GDP.MKTP.KD.ZG],Exportaciones de bienes y servicios (% del crecimiento anual) [NE.EXP.GNFS.KD.ZG],Gasto en investigación y desarrollo (% del PIB) [GB.XPD.RSDV.GD.ZS],Exportaciones de bienes y servicios (US$ a precios actuales) [NE.EXP.GNFS.CD],PIB per cápita (US$ a precios actuales) [NY.GDP.PCAP.CD],PIB (US$ a precios actuales) [NY.GDP.MKTP.CD],Acceso a la electricidad (% de población) [EG.ELC.ACCS.ZS],Acceso a tecnologías y combustibles limpios para cocinar (% de la población) [EG.CFT.ACCS.ZS],"Acceso a la electricidad, sector rural (% de la población rural) [EG.ELC.ACCS.RU.ZS]","Adolescentes que no asisten a la escuela, mujeres (% de mujeres en edad de asistir al ciclo inferior de la escuela secundaria) [SE.SEC.UNER.LO.FE.ZS]"
2000,YR2000,Brasil,BRA,4.38794944267383,12.8605493746369,1.04751,66774569991.801,3749.75324996168,655420645476.906,94.4127731323242,86.91,71.8931120681599,..
2000,YR2000,India,IND,3.84099115681285,18.153511026272,0.75699,60878396865.5263,443.31419339174,468394937262.37,59.1254577636719,22.15,47.7249797788717,..
2000,YR2000,China,CHN,8.49009340601468,..,0.89316,253092089737,959.372483639691,1211346869605.24,96.9071044921875,46.78,95.1766206990479,..
2000,YR2000,Sudáfrica,ZAF,4.2000034755179,8.31374400600069,..,37034201374.3376,3032.42713820462,136361298082.061,71.7508926391602,56.43,52.8434678078669,13.5881395339966
2000,YR2000,Federación de Rusia,RUS,10.000066815788,9.49947989952389,1.04983,114429434767.153,1771.59405905827,259710142196.943,100,92.69,100,..
2009,YR2009,Brasil,BRA,-0.125811999414864,-9.24706647169667,1.11866,180894503551.065,8597.91535151624,1667019783585.08,98.856938,93.27,93.6173981814944,0.644209980964661
2009,YR2009,India,IND,7.86188883303498,-4.83422535371287,0.83314,273751836387.128,1101.96084002239,1341886602798.69,75,32.82,65.7022359061516,..
2009,YR2009,China,CHN,9.39872563258297,..,1.6648,1262664161019.72,3832.23643246702,5101703073086.04,99.1512222290039,54.07,98.3741144164196,..
2009,YR2009,Sudáfrica,ZAF,-1.53808933379921,-17.0238207549851,0.83562,82601460991.0665,5862.79734021167,295936485832.635,82.7,75.04,72.8318885719266,..
2009,YR2009,Federación de Rusia,RUS,-7.79999391343111,-4.7001501222561,1.25192,341583596930.095,8562.81327716515,1222644282201.86,100,96.93,100,..
2010,YR2010,Brasil,BRA,7.52822583005563,11.7217215440282,1.15992,240006821282.401,11286.2430162457,2208871646202.82,98.9767379760742,93.66,93.4678453792054,..
2010,YR2010,India,IND,8.49758470158106,19.4781354582247,0.78849,375353472834.938,1357.56371913262,1675615335600.56,76.3,34.4,68.3738236535823,..
2010,YR2010,China,CHN,10.6358710645426,..,1.71372,1654815752520.77,4550.4531077571,6087163874512.21,99.7,54.91,99.4091464137797,..
2010,YR2010,Sudáfrica,ZAF,3.03973081360169,7.71800818348318,0.73704,107407119051.522,7328.61562893966,375349442837.24,82.9,76.65,67.9479513025107,..
2010,YR2010,Federación de Rusia,RUS,4.50000000003065,7.00025425310413,1.1302,445513189914.35,10674.9957825675,1524917468442.01,100,97.22,100,..
2011,YR2011,Brasil,BRA,3.97442540583816,4.81098128937521,1.13966,303021879483.501,13245.6124995448,2616200980392.16,99.328691,94.07,96.1905874295669,3.56852006912231
2011,YR2011,India,IND,5.2413447428854,15.4929879261522,0.75502,447383950836.263,1458.10352686177,1823050405350.42,67.6,35.42,56.086077638855,..
2011,YR2011,China,CHN,9.55083217886425,..,1.78034,2006296851391.43,5618.13226711952,7551500124203.36,99.874382019043,55.66,99.7461698945212,..
2011,YR2011,Sudáfrica,ZAF,3.28416814231139,3.49620055471553,0.73451,126845106113.399,8007.41284634441,416418874936.304,84.7,78.21,73.4153538360434,..
2011,YR2011,Federación de Rusia,RUS,4.3000291857941,0.300123458726958,1.01261,573991825010.295,14311.0843159612,2045925608274.37,100,97.42,100,..
2012,YR2012,Brasil,BRA,1.92115031836305,0.708513473564238,1.12684,292804259894.527,12370.0242007149,2465188674415.03,99.519494,94.48,97.2218134711631,..
2012,YR2012,India,IND,5.45635895072287,6.80548281183171,0.74399,448400543291.471,1443.87952939042,1827637859135.7,79.9,36.64,72.4040107597965,..
2012,YR2012,China,CHN,7.86373644864966,..,1.91214,2175080625679.5,6316.91831760216,8532229986993.65,99.9748764038086,56.4,99.9479141780843,..
2012,YR2012,Sudáfrica,ZAF,2.21335480848441,0.793881681542956,0.73363,117805454390.431,7501.4699839525,396332702639.496,85.3,79.65,76.9677349855104,..
2012,YR2012,Federación de Rusia,RUS,4.02408615720979,1.36042166380135,1.02675,594193217854.85,15420.8745413273,2208295773643.15,100,97.62,100,..
2013,YR2013,Brasil,BRA,3.00484630505706,1.82931533165574,1.19567,290362691897.407,12300.3248822758,2472806919901.67,99.575151,94.77,97.5020334516603,..
2013,YR2013,India,IND,6.38610640094825,7.79238923851599,0.70642,472180427427.899,1449.6059123387,1856722121394.53,80.7915420532227,37.81,73.6635093484631,11.6849603652954
2013,YR2013,China,CHN,7.76615009763002,..,1.99786,2354248580552.39,7050.64627124287,9570406235659.64,100,57.24,100,..
2013,YR2013,Sudáfrica,ZAF,2.4852005003106,3.98527368268715,0.72488,113611981865.661,6832.45689096701,366829390478.954,85.4,81,76.7877506747487,..
2013,YR2013,Federación de Rusia,RUS,1.75542214909368,4.56172779947288,1.02524,592497432241.002,15974.6446270517,2292473246621.08,100,97.81,100,2.39962005615234
2014,YR2014,Brasil,BRA,0.503955740242247,-1.56845186711504,1.27131,270452613684.658,12112.5882059697,2455993625159.37,99.650247,95.1,97.9100770443521,..
2014,YR2014,India,IND,7.41022760508854,1.77759073335379,0.70159,468346037554.217,1573.88149211052,2039127446298.55,83.5347213745117,38.8,77.3026672546519,..
2014,YR2014,China,CHN,7.42576365632598,..,2.02963,2462839435097.13,7678.59948587483,10475682920594.5,100,57.8,100,..
2014,YR2014,Sudáfrica,ZAF,1.84699160365716,3.57651716407244,0.77115,110424915818.303,6433.18727662894,350904575292.317,86,82.36,77.6295638901199,..
2014,YR2014,Federación de Rusia,RUS,0.736267221415574,0.510432046002023,1.07203,558283087794.633,14095.648742954,2059241965490.83,100,98.03,100,1.49978005886078
2015,YR2015,Brasil,BRA,-3.54576339269425,6.81884981533692,1.34264,232489103970.663,8814.00098681261,1802214373741.32,99.710902,95.38,98.2324092437609,..
2015,YR2015,India,IND,7.99625344413879,-5.64708727457766,0.6931,416787832621.795,1605.60543355488,2103587817041.78,88,39.88,83.3679321086777,..
2015,YR2015,China,CHN,7.04132887877194,..,2.0656,2362092880957.64,8066.94263493557,11061553079876.4,100,58.54,100,..
2015,YR2015,Sudáfrica,ZAF,1.19373280124428,2.92517742464371,0.79846,95771761550.3463,5734.63362915331,317620522794.827,85.5,83.64,75.3635314242526,..
2015,YR2015,Federación de Rusia,RUS,-1.97271922637542,3.67326230339928,1.10076,391365279621.646,9313.01362484996,1363481063446.77,95.5,98.15,100,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from Database: Indicadores del desarrollo mundial,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,
